category,state,county,city,lat,lon
Wet City,AL,Bibb,Brent,32.937346,-87.164718
Wet City,AL,Bibb,Centreville,32.944568,-87.138607
Wet City,AL,Blount,Blountsville,34.081486,-86.591103
Wet City,AL,Blount,Cleveland,33.990932,-86.577491
Wet City,AL,Blount,Oneonta,33.948154,-86.472764
Wet City,AL,Cherokee,Cedar Bluff,34.220094,-85.60774
Wet City,AL,Cherokee,Centre,34.152041,-85.678853
Wet City,AL,Chilton,Clanton,32.838737,-86.629426
Wet City,AL,Chilton,Jemison,32.959845,-86.746652
Wet City,AL,Chilton,Thorsby,32.91568,-86.715818
Wet City,AL,Clarke,Grove Hill,31.708768,-87.777222
Wet City,AL,Clarke,Jackson,31.509052,-87.894444
Wet City,AL,Clarke,Thomasville,31.913486,-87.735837
Wet City,AL,Coffee,Elba,31.414611,-86.067724
Wet City,AL,Coffee,Enterprise,31.315171,-85.855216
Wet City,AL,Coffee,New Brockton,31.385724,-85.929386
Wet City,AL,Cullman,Cullman,34.174821,-86.843612
Wet City,AL,Cullman,Good Hope,34.115933,-86.863612
Wet City,AL,DeKalb,Collinsville,34.263982,-85.860525
Wet City,AL,DeKalb,Ft. Payne,34.444255,-85.719689
Wet City,AL,Fayette,Fayette,33.684554,-87.830852
Wet City,AL,Franklin,Russellville,34.507873,-87.728643
Wet City,AL,Geneva,Geneva,31.032957,-85.863824
Wet City,AL,Geneva,Samson,31.112954,-86.046052
Wet City,AL,Geneva,Slocomb,31.108233,-85.594378
Wet City,AL,Jackson,Bridgeport,34.947581,-85.714415
Wet City,AL,Jackson,Scottsboro,34.672307,-86.034146
Wet City,AL,Jackson,Stevenson,34.868693,-85.83942
Wet City,AL,Lamar,Sulligent,33.901774,-88.134478
Wet City,AL,Lauderdale,Florence,34.79981,-87.677251
Wet City,AL,Lauderdale,Rogersville,34.825642,-87.294742
Wet City,AL,Lauderdale,St Florian,34.873403,-87.623352
Wet City,AL,Lawrence,Moulton,34.481206,-87.293353
Wet City,AL,Lawrence,Town Creek,34.681201,-87.406134
Wet City,AL,Limestone,Athens,34.802866,-86.971674
Wet City,AL,Marion,Guin,33.965659,-87.914749
Wet City,AL,Marion,Haleyville,34.215026,-87.640674
Wet City,AL,Marion,Hamilton,34.142323,-87.988644
Wet City,AL,Marion,Winfield,33.928993,-87.817246
Wet City,AL,Marshall,Albertville,34.267594,-86.208867
Wet City,AL,Marshall,Arab,34.31815,-86.495822
Wet City,AL,Marshall,Boaz,34.203166,-86.152097
Wet City,AL,Marshall,Guntersville,34.358147,-86.294704
Wet City,AL,Monroe,Frisco City,31.433498,-87.401375
Wet City,AL,Monroe,Monroeville,31.52794,-87.324708
Wet City,AL,Morgan,Decatur,34.605925,-86.983342
Wet City,AL,Morgan,Priceville,34.525093,-86.894727
Wet City,AL,Pickens,Aliceville,33.129568,-88.151417
Wet City,AL,Pickens,Reform,33.378451,-88.015301
Wet City,AL,Walker,Carbon Hill,33.891774,-87.526124
Wet City,AL,Walker,Dora,33.728717,-87.090277
Wet City,AL,Walker,Jasper,33.831218,-87.277505
Wet City,AL,Washington,Chatom,31.465165,-88.254456
Wet City,AL,Winston,Haleyville,34.226488,-87.621413
Golf Course or Country Club,AL,Marshall,Cherokee Ridge Country Club,34.422479,-86.565177
Golf Course or Country Club,AL,Blount,Heritage Golf,33.981818,-86.453808
Golf Course or Country Club,AL,Blount,Limestone Springs Country Club,33.896272,-86.566507
Golf Course or Country Club,AL,DeKalb,Terrapin Hills Country Club,34.509225,-85.688004
Golf Course or Country Club,AL,Cullman,Terri Pines Country Club,34.240444,-86.886331
Golf Course or Country Club,AL,Lauderdale,Turtle Point Yacht & Country Club,34.85407,-87.551148
Wet City,AL,Cullman,Hanceville,34.060654,-86.767498
