state,FIPS,pop,reps,rep30k
Alabama,01,4802982,7,80
Alaska,02,721523,1,12
Arizona,04,6412700,9,107
Arkansas,05,2926229,4,49
California,06,37341989,53,622
Colorado,08,5044930,7,84
Connecticut,09,3581628,5,60
Delaware,11,900877,1,15
Florida,12,18900773,27,315
Georgia,13,9727566,14,162
Hawaii,15,1366862,2,23
Idaho,16,1573499,2,26
Illinois,17,12864380,18,214
Indiana,18,6501582,9,108
Iowa,19,3053787,4,51
Kansas,20,2863813,4,48
Kentucky,21,4350606,6,73
Louisiana,22,4553962,6,76
Maine,23,1333074,2,22
Maryland,24,5789929,8,96
Massachusetts,25,6559644,9,109
Michigan,26,9911626,14,165
Minnesota,27,5314879,8,89
Mississippi,28,2978240,4,50
Missouri,29,6011478,8,100
Montana,30,994416,1,17
Nebraska,31,1831825,3,31
Nevada,32,2709432,4,45
New Hampshire,33,1321445,2,22
New Jersey,34,8807501,12,147
New Mexico,35,2067273,3,34
New York,36,19421055,27,324
North Carolina,37,9565781,13,159
North Dakota,38,675905,1,11
Ohio,39,11568495,16,193
Oklahoma,40,3764882,5,63
Oregon,41,3848606,5,64
Pennsylvania,42,12734905,18,212
Rhode Island,44,1055247,2,18
South Carolina,45,4645975,7,77
South Dakota,46,819761,1,14
Tennessee,47,6375431,9,106
Texas,48,25268418,36,421
Utah,49,2770765,4,46
Vermont,50,630337,1,11
Virginia,51,8037736,11,134
Washington,53,6753369,10,113
West Virginia,54,1859815,3,31
Wisconsin,55,5698230,8,95
Wyoming,56,568300,1,9
